index,loss,correct,predicted,total_logprob
0,3.1922409534454346,0, Yes,-3.3531129360198975
1,0.6376231908798218,1, Yes,-4.641613960266113
2,0.0009545299108140171,1, No,-2.6622188091278076
3,0.16088128089904785,1, Yes,-3.5179803371429443
4,0.0029344377107918262,1, No,-1.8487944602966309
5,0.06343121081590652,1, Yes,-5.801946640014648
6,0.00019393471302464604,1, No,-3.4981632232666016
7,10.520002365112305,0, No,-1.5713458061218262
8,0.00018034738604910672,1, No,-3.8959975242614746
9,4.2305121421813965,0, No,-5.949916362762451
10,0.008795331232249737,1, No,-4.019520282745361
11,0.019834162667393684,1, Yes,-4.4346489906311035
12,3.5954792499542236,0, Yes,-2.164992094039917
13,0.019727222621440887,1, Yes,-3.7269489765167236
14,0.03495029732584953,1, No,-2.7180323600769043
15,4.0043158531188965,0, No,-2.587327241897583
16,8.535020606359467e-05,1, No,-1.1891216039657593
17,0.019393006339669228,1, Yes,-5.067751407623291
18,0.024519633501768112,1, No,-3.595409393310547
19,0.00019202772818971425,1, No,-1.352882981300354
20,0.0015393561916425824,1, Yes,-3.638657569885254
21,7.867782187531702e-06,1, No,-0.9376047253608704
22,0.048271480947732925,1, Yes,-4.357085227966309
23,3.85038583772257e-05,1, No,-1.2941994667053223
24,3.273021936416626,0, No,-5.326843738555908
25,0.0002862997353076935,1, No,-1.3836919069290161
26,0.002658406738191843,1, Yes,-1.9165916442871094
27,0.00839916244149208,1, No,-3.732743263244629
28,0.004308465868234634,1, Yes,-4.048573017120361
29,0.5454124808311462,1, No,-3.369277238845825
30,0.0005914607318118215,1, Yes,-3.9075186252593994
31,0.004575022961944342,1, No,-2.858184814453125
32,0.0032482976093888283,1, Yes,-4.598846912384033
33,0.05555868521332741,1, No,-2.9795095920562744
34,5.162306785583496,0, No,-3.921086549758911
35,0.03308485075831413,1, No,-3.3554162979125977
36,0.0008011230966076255,1, Yes,-2.125056743621826
37,2.875473737716675,0, Yes,-2.642451047897339
38,0.09170477837324142,1, No,-3.199490547180176
39,0.005482281092554331,1, Yes,-4.114211082458496
40,0.04638237506151199,1, No,-2.3070967197418213
41,4.732278823852539,0, No,-4.912933349609375
42,5.885315895080566,0, Yes,-3.1970207691192627
43,0.0685655027627945,1, Yes,-4.889751434326172
44,0.018590614199638367,1, No,-2.955261468887329
45,0.09692613035440445,1, Yes,-8.296669006347656
46,0.003721100278198719,1, No,-2.5622007846832275
47,0.0006845038151368499,1, Yes,-3.500749111175537
48,0.008794976398348808,1, No,-1.795712947845459
49,0.0029389543924480677,1, Yes,-2.87064528465271
50,0.0021569100208580494,1, No,-2.017388105392456
51,0.0022693139035254717,1, Yes,-3.0477800369262695
52,4.263247966766357,0, Yes,-2.0976946353912354
53,0.049660760909318924,1, Yes,-3.609980821609497
54,0.00014101465058047324,1, No,-1.1934254169464111
55,0.07669602334499359,1, Yes,-5.338716506958008
56,0.0006883158930577338,1, No,-3.68410587310791
57,0.08908232301473618,1, No,-4.101938247680664
58,0.0018109364900738,1, Yes,-6.092734336853027
